S4R96A,XD685 DLC,Server
S6G97A,XD690 AC,Server
S6Y07A,XD685 DLC High Power,Server
S3W15A,XD680 AC,Server
P73356-B21,EPYC 9645,CPU
P73357-B21,EPYC 9655,CPU
P73358-B21,EPYC 9565,CPU
P73359-B21,EPYC 9535,CPU
P73360-B21,EPYC 9555,CPU
P73361-B21,EPYC 9455,CPU
P73362-B21,EPYC 9365,CPU
P73364-B21,EPYC 9355,CPU
P73377-B21,EPYC 9575F,CPU
S6V54A,Xeon 6767P,CPU
S6V55A,Xeon 6776P,CPU
S6V47A,64 GB,DIMM
S6V48A,96 GB,DIMM
S6V49A,128 GB,DIMM
P64986-H21,64 GB,DIMM
P64987-H21,96 GB ,DIMM
P64988-H21,128 GB,DIMM
S5F74A,256 GB,DIMM
S4X27A,1.6 TB,NVMe
S4X28A,1.92 TB,NVMe
S4X29A,3.2 TB,NVMe
S4X30A,3.84 TB,NVMe
S4X31A,6.4 TB,NVMe
S4X32A,7.68 TB,NVMe
S4X33A,15.36 TB,NVMe
S4X34A,3.2 TB FIPS,NVMe
S4X35A,6.4 TB FIPS,NVMe
S4X36A,7.68 TB FIPS,NVMe
S6V50A,1.92 TB,M.2
S6V51A,1.92 TB,NVMe
S6V52A,3.84 TB,NVMe
S6X01A,7.68 TB,NVMe
P26253-B21,BCM 57416 10 Gb 2 port,NIC
P26262-B21,BCM 57414 10/25 Gb 2 port,NIC
P74287-H21,BCM 57608 400 Gb 1 port,NIC
S6U37A,AMD Pollara 400 Gb,NIC
P45642-H22,CX7 200 Gb 1 port,NIC
P25960-B21,CX6 100 Gb 2 port,NIC
P65333-H21,CX7 200 Gb 2 port,NIC
P45641-H23,CX7 400 Gb,NIC
P79114-H21,CX8 400 Gb,NIC
P21112-B21,Intel 100 Gb 2 port,NIC
P08443-B21,Intel 10/26 Gb 2 port,NIC
P10180-B21,CX6, 200 Gb 1 port,NIC
P42044-B21,CX6 10/25 Gb 2 port,NIC
P21106-B21,Intel 1 Gb 4 port,NIC
P66386-H21,B3220 DPU,NIC
P66387-H21,B3140H DPU,NIC
S6F44A,B3240 DPU,NIC
P47777-B21,MR416i-p,RAID
P47184-B21,SR932i-p,RAID
S4R99A,NS204i-u 960 GB,Boot
S6A36A,NS204i-u 2 x 960 G,Boot
S4W08A,NVIDIA HGX B300,GPU
S6A37A,NVIDIA HGX B300,GPU
S3W20A,NVIDIA HGX B200,GPU
S6J64A,AMD MI355X,GPU
S4R02A,XD 3kW PSU,PSU,XD685
P59421-B21,Enlogic 7.3kVA,PDU
P59418-B21,Enlogic 17.3kVA,PDU
P59414-B21,Enlogic 17.3kVA,PDU
S6X49A,86kVA 24 x C19,PDU
S7J57A,73.7 kVA 22 x C19,PDU
S6J66A,77.5 kVA 21 x C19,PDU
P9S22A,17.3 kVA 12 x C19,PDU
P9R82A,17.3 kVA 12 x C19,PDU
S4W24A,66 kVA 21 x SDG,PDU
S4W26A,57 kVA 18 x C19,PDU
S4W27A,34 kVA 18 x C19,PDU
S4W28A,69 kVA 18 x C19,PDU
S4W29A,45 kVA 18 x C19,PDU
R4N29A,63 A 23 x CX,PDU
R4N78A,60A 12 x CX,PDU
R4N79A,60A 12 x CX,PDU


